actor_1_name,movie_title,genres,title_year,imdb_score,movie_facebook_likes
Jake Gyllenhaal,Prince of Persia: The Sands of Time,Action|Adventure|Fantasy|Romance,2010,6.6,23000
Charlie Hunnam,Pacific Rim,Action|Adventure|Sci-Fi,2013,7,83000
Glenn Morshower,Transformers: Dark of the Moon,Action|Adventure|Sci-Fi,2011,6.3,46000
Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull,Action|Adventure|Fantasy,2008,6.2,5000
A.J. Buckley,The Good Dinosaur,Adventure|Animation|Comedy|Family|Fantasy,2015,6.8,20000
Kelly Macdonald,Brave,Adventure|Animation|Comedy|Family|Fantasy,2012,7.2,39000
Sofia Boutella,Star Trek Beyond,Action|Adventure|Sci-Fi|Thriller,2016,7.5,30000
John Ratzenberger,WALL·E,Adventure|Animation|Family|Sci-Fi,2008,8.4,16000
Tzi Ma,Rush Hour 3,Action|Comedy|Crime|Thriller,2007,6.2,0
Oliver Platt,2012,Action|Adventure|Sci-Fi,2009,5.8,13000
Robin Wright,A Christmas Carol,Animation|Drama|Family|Fantasy,2009,6.8,0
Channing Tatum,Jupiter Ascending,Action|Adventure|Sci-Fi,2015,5.4,44000
Christoph Waltz,The Legend of Tarzan,Action|Adventure|Drama|Romance,2016,6.6,29000
Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure|Family|Fantasy,2005,6.9,0
Jennifer Lawrence,X-Men: Apocalypse,Action|Adventure|Sci-Fi,2016,7.3,54000
Christian Bale,The Dark Knight,Action|Crime|Drama|Thriller,2008,9,37000
John Ratzenberger,Up,Adventure|Animation|Comedy|Family,2009,8.3,27000
Amy Poehler,Monsters vs. Aliens,Action|Adventure|Animation|Comedy|Family|Sci-Fi,2009,6.5,0
Robert Downey Jr.,Iron Man,Action|Adventure|Sci-Fi,2008,7.9,10000
Chloë Grace Moretz,Hugo,Adventure|Drama|Family|Mystery,2011,7.5,42000
Will Smith,Wild Wild West,Action|Comedy|Sci-Fi|Western,1999,4.8,0
Jet Li,The Mummy: Tomb of the Dragon Emperor,Action|Adventure|Fantasy|Horror|Thriller,2008,5.2,0
Will Smith,Suicide Squad,Action|Adventure|Comedy|Sci-Fi,2016,6.9,80000
Jimmy Bennett,Evan Almighty,Comedy|Family|Fantasy,2007,5.4,2000
Tom Cruise,Edge of Tomorrow,Action|Adventure|Sci-Fi,2014,7.9,77000
Jeanne Tripplehorn,Waterworld,Action|Adventure|Sci-Fi|Thriller,1995,6.1,0
Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra,Action|Adventure|Sci-Fi|Thriller,2009,5.8,0
Amy Poehler,Inside Out,Adventure|Animation|Comedy|Drama|Family|Fantasy,2015,8.3,118000
Scarlett Johansson,The Jungle Book,Adventure|Drama|Family|Fantasy,2016,7.8,65000
Robert Downey Jr.,Iron Man 2,Action|Adventure|Sci-Fi,2010,7,18000
Chris Hemsworth,Snow White and the Huntsman,Action|Adventure|Drama|Fantasy,2012,6.1,53000
Angelina Jolie Pitt,Maleficent,Action|Adventure|Family|Fantasy|Romance,2014,7,89000
Gary Oldman,Dawn of the Planet of the Apes,Action|Adventure|Drama|Sci-Fi,2014,7.6,45000
Tamsin Egerton,The Lovers,Action|Adventure|Romance|Sci-Fi,2015,4.5,677
Keanu Reeves,47 Ronin,Action|Adventure|Drama|Fantasy,2013,6.3,35000
Scarlett Johansson,Captain America: The Winter Soldier,Action|Adventure|Sci-Fi,2014,7.8,55000
Jon Hamm,Shrek Forever After,Adventure|Animation|Comedy|Family|Fantasy,2010,6.4,0
Judy Greer,Tomorrowland,Action|Adventure|Family|Mystery|Sci-Fi,2015,6.5,37000
Damon Wayans Jr.,Big Hero 6,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,2014,7.9,41000
Jack McBrayer,Wreck-It Ralph,Adventure|Animation|Comedy|Family|Sci-Fi,2012,7.8,40000
Tom Hanks,The Polar Express,Adventure|Animation|Family|Fantasy,2004,6.6,10000
Vivica A. Fox,Independence Day: Resurgence,Action|Adventure|Sci-Fi,2016,5.5,67000
Gerard Butler,How to Train Your Dragon,Adventure|Animation|Family|Fantasy,2010,8.2,33000
Nick Stahl,Terminator 3: Rise of the Machines,Action|Sci-Fi,2003,6.4,0
Bradley Cooper,Guardians of the Galaxy,Action|Adventure|Sci-Fi,2014,8.1,96000
Matthew McConaughey,Interstellar,Adventure|Drama|Sci-Fi,2014,8.6,349000
Leonardo DiCaprio,Inception,Action|Adventure|Sci-Fi|Thriller,2010,8.8,175000
Mark Chinnery,Godzilla Resurgence,Action|Adventure|Drama|Horror|Sci-Fi,2016,8.2,0
Aidan Turner,The Hobbit: An Unexpected Journey,Adventure|Fantasy,2012,7.9,166000
Paul Walker,The Fast and the Furious,Action|Crime|Thriller,2001,6.7,14000
Brad Pitt,The Curious Case of Benjamin Button,Drama|Fantasy|Romance,2008,7.8,23000
Jennifer Lawrence,X-Men: First Class,Action|Adventure|Sci-Fi,2011,7.8,54000
Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2,Adventure|Sci-Fi,2015,6.6,38000
Nicolas Cage,The Sorcerer's Apprentice,Action|Adventure|Family|Fantasy,2010,6.1,11000
Jimmy Bennett,Poseidon,Action|Adventure|Drama|Thriller,2006,5.6,0
Johnny Depp,Alice Through the Looking Glass,Adventure|Family|Fantasy,2016,6.4,30000
Justin Timberlake,Shrek the Third,Adventure|Animation|Comedy|Family|Fantasy,2007,6.1,0
Dominic Cooper,Warcraft,Action|Adventure|Fantasy,2016,7.3,89000
J.K. Simmons,Terminator Genisys,Action|Adventure|Sci-Fi,2015,6.6,82000
Bruce Spence,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure|Family|Fantasy,2010,6.3,11000
Jennifer Garner,Pearl Harbor,Action|Drama|History|Romance|War,2001,6.1,0
Zack Ward,Transformers,Action|Adventure|Sci-Fi,2007,7.1,8000
Anthony Hopkins,Alexander,Action|Adventure|Biography|Drama|History|Romance|War,2004,5.5,0
Robert Pattinson,Harry Potter and the Order of the Phoenix,Adventure|Family|Fantasy|Mystery,2007,7.5,0
Robert Pattinson,Harry Potter and the Goblet of Fire,Adventure|Family|Fantasy|Mystery,2005,7.6,0
Will Smith,Hancock,Action|Drama,2008,6.4,0
Will Smith,I Am Legend,Drama|Horror|Sci-Fi,2007,7.2,11000
Johnny Depp,Charlie and the Chocolate Factory,Adventure|Comedy|Family|Fantasy,2005,6.7,0
Janeane Garofalo,Ratatouille,Animation|Comedy|Family|Fantasy,2007,8,10000
Christian Bale,Batman Begins,Action|Adventure,2005,8.3,15000
Bernie Mac,Madagascar: Escape 2 Africa,Action|Adventure|Animation|Comedy|Family,2008,6.7,0
Robin Williams,Night at the Museum: Battle of the Smithsonian,Adventure|Comedy|Family|Fantasy,2009,5.9,2000
Hugh Jackman,X-Men Origins: Wolverine,Action|Adventure|Fantasy|Sci-Fi|Thriller,2009,6.7,0
Essie Davis,The Matrix Revolutions,Action|Sci-Fi,2003,6.7,0
Josh Gad,Frozen,Adventure|Animation|Comedy|Family|Fantasy|Musical,2013,7.6,58000
Steve Bastoni,The Matrix Reloaded,Action|Sci-Fi,2003,7.2,0
Chris Hemsworth,Thor: The Dark World,Action|Adventure|Fantasy,2013,7.1,63000
Tom Hardy,Mad Max: Fury Road,Action|Adventure|Sci-Fi|Thriller,2015,8.1,191000
Tom Hanks,Angels & Demons,Mystery|Thriller,2009,6.7,0
Chris Hemsworth,Thor,Action|Adventure|Fantasy,2011,7,63000
Chloë Grace Moretz,Bolt,Adventure|Animation|Comedy|Drama|Family,2008,6.9,0
Kelli Garner,G-Force,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,2009,5.1,0
Liam Neeson,Wrath of the Titans,Action|Adventure|Fantasy,2012,5.8,19000
Johnny Depp,Dark Shadows,Comedy|Fantasy|Horror,2012,6.2,82000
Tom Cruise,Mission: Impossible - Rogue Nation,Action|Adventure|Thriller,2015,7.4,47000
Anthony Hopkins,The Wolfman,Drama|Fantasy|Horror|Thriller,2010,5.8,0
Christoph Waltz,The Legend of Tarzan,Action|Adventure|Drama|Romance,2016,6.6,29000
Matthew Broderick,Bee Movie,Adventure|Animation|Comedy|Family,2007,6.2,0
Angelina Jolie Pitt,Kung Fu Panda 2,Action|Adventure|Animation|Comedy|Family,2011,7.3,20000
Seychelle Gabriel,The Last Airbender,Action|Adventure|Family|Fantasy,2010,4.2,18000
Philip Seymour Hoffman,Mission: Impossible III,Action|Adventure|Thriller,2006,6.9,0
Channing Tatum,White House Down,Action|Drama|Thriller,2013,6.4,33000
Elisabeth Harnois,Mars Needs Moms,Action|Adventure|Animation|Comedy|Family|Sci-Fi,2011,5.4,0
Hugh Jackman,Flushed Away,Adventure|Animation|Comedy|Family,2006,6.7,0
Hugh Jackman,Pan,Adventure|Family|Fantasy,2015,5.8,24000
Ty Burrell,Mr. Peabody & Sherman,Adventure|Animation|Comedy|Family|Sci-Fi,2014,6.9,11000
Brad Pitt,Troy,Adventure,2004,7.2,0
Jada Pinkett Smith,Madagascar 3: Europe's Most Wanted,Adventure|Animation|Comedy|Family,2012,6.9,17000
Toby Stephens,Die Another Day,Action|Adventure|Thriller,2002,6.1,0
Ed Begley Jr.,Ghostbusters,Action|Comedy|Fantasy|Sci-Fi,2016,5.5,62000
Bruce Willis,Armageddon,Action|Adventure|Sci-Fi|Thriller,1998,6.6,11000
Will Smith,Men in Black II,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,2002,6.1,2000
Robin Wright,Beowulf,Action|Adventure|Animation|Fantasy,2007,6.3,3000
J.K. Simmons,Kung Fu Panda 3,Action|Adventure|Animation|Comedy|Family,2016,7.2,24000
Tom Cruise,Mission: Impossible - Ghost Protocol,Action|Adventure|Thriller,2011,7.4,35000
Hugh Jackman,Rise of the Guardians,Adventure|Animation|Family|Fantasy,2012,7.3,25000
John Michael Higgins,Fun with Dick and Jane,Comedy|Crime,2005,6.1,2000
Tom Cruise,The Last Samurai,Action|Drama|History|War,2003,7.7,0
Christian Bale,Exodus: Gods and Kings,Action|Adventure|Drama,2014,6.1,51000
Chris Hemsworth,Star Trek,Action|Adventure|Sci-Fi,2009,8,19000
J.K. Simmons,Spider-Man,Action|Adventure|Fantasy|Romance,2002,7.3,5000
Gerard Butler,How to Train Your Dragon 2,Action|Adventure|Animation|Comedy|Family|Fantasy,2014,7.9,46000
Gerard Butler,Gods of Egypt,Action|Adventure|Fantasy,2016,5.5,24000
Sam Shepard,Stealth,Action|Adventure|Sci-Fi|Thriller,2005,5,0
Matt Frewer,Watchmen,Action|Drama|Mystery|Sci-Fi,2009,7.7,18000
Jet Li,Lethal Weapon 4,Action|Crime|Thriller,1998,6.6,0
Kevin Rankin,Hulk,Action|Sci-Fi,2003,5.7,0
Channing Tatum,G.I. Joe: Retaliation,Action|Adventure|Sci-Fi|Thriller,2013,5.8,42000
Matthew McConaughey,Sahara,Action|Adventure|Comedy|Thriller,2005,6,0
Steve Buscemi,Final Fantasy: The Spirits Within,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,2001,6.4,0
Chris Evans,Captain America: The First Avenger,Action|Adventure|Sci-Fi,2011,6.9,46000
Colin Salmon,The World Is Not Enough,Action|Adventure|Thriller,1999,6.4,2000
James D'Arcy,Master and Commander: The Far Side of the World,Action|Adventure|Drama|History|War,2003,7.4,0
Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2,Adventure|Drama|Fantasy|Romance,2012,5.5,65000
Robin Williams,Happy Feet 2,Animation|Comedy|Family|Musical,2011,5.9,0
Ty Burrell,The Incredible Hulk,Action|Adventure|Sci-Fi,2008,6.8,0
Don Johnson,Miami Vice            ,Action|Crime|Drama|Mystery|Thriller,,7.5,0
Mark Rylance,The BFG,Adventure|Family|Fantasy,2016,6.8,27000
Leonardo DiCaprio,The Revenant,Adventure|Drama|Thriller|Western,2015,8.1,190000
Ryan Reynolds,Turbo,Adventure|Animation|Comedy|Family|Sport,2013,6.5,13000
Johnny Depp,Rango,Adventure|Animation|Comedy|Family|Western,2011,7.2,26000
Benedict Cumberbatch,Penguins of Madagascar,Adventure|Animation|Comedy|Family,2014,6.7,11000
Matt Damon,The Bourne Ultimatum,Action|Mystery|Thriller,2007,8.1,0
Angelina Jolie Pitt,Kung Fu Panda,Action|Adventure|Animation|Comedy|Family,2008,7.6,6000
Judy Greer,Ant-Man,Action|Adventure|Comedy|Sci-Fi,2015,7.4,61000
Jennifer Lawrence,The Hunger Games: Catching Fire,Adventure|Sci-Fi|Thriller,2013,7.6,82000
Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2,Adventure|Drama|Fantasy|Romance,2012,5.5,65000
Jim Parsons,Home,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,2015,6.7,26000
Tom Cruise,War of the Worlds,Adventure|Sci-Fi|Thriller,2005,6.5,0
Will Smith,Bad Boys II,Action|Comedy|Crime|Thriller,2003,6.6,0
Salma Hayek,Puss in Boots,Action|Adventure|Animation|Comedy|Family|Fantasy,2011,6.7,16000
Angelina Jolie Pitt,Salt,Action|Crime|Mystery|Thriller,2010,6.4,23000
Anthony Hopkins,Noah,Action|Adventure|Drama,2014,5.8,71000
Toby Jones,The Adventures of Tintin,Action|Adventure|Family|Mystery,2011,7.4,44000
Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban,Adventure|Family|Fantasy|Mystery,2004,7.8,11000
Essie Davis,Australia,Adventure|Drama|Romance|War,2008,6.6,0
Will Smith,After Earth,Action|Adventure|Sci-Fi,2013,4.9,37000
Alfre Woodard,Dinosaur,Adventure|Animation|Family|Thriller,2000,6.5,0
Rupert Grint,Harry Potter and the Deathly Hallows: Part II,Action|Fantasy,2011,7.5,40
Robin Williams,Night at the Museum: Secret of the Tomb,Adventure|Comedy|Family|Fantasy,2014,6.2,11000
J.K. Simmons,Megamind,Action|Animation|Comedy|Family|Sci-Fi,2010,7.3,13000
Daniel Radcliffe,Harry Potter and the Sorcerer's Stone,Adventure|Family|Fantasy,2001,7.5,16000
Ryan Reynolds,R.I.P.D.,Action|Comedy|Fantasy,2013,5.6,20000
Mark Chinnery,Godzilla Resurgence,Action|Adventure|Drama|Horror|Sci-Fi,2016,8.2,0
Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,Action|Adventure|Fantasy,2003,8.1,10000
Rupert Grint,Harry Potter and the Deathly Hallows: Part I,Fantasy,2010,6.4,25
Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1,Adventure|Sci-Fi|Thriller,2014,6.7,52000
Tom Hanks,The Da Vinci Code,Mystery|Thriller,2006,6.6,0
Miguel Ferrer,Rio 2,Adventure|Animation|Comedy|Family|Musical,2014,6.4,0
Hugh Jackman,X-Men 2,Action|Adventure|Fantasy|Sci-Fi|Thriller,2003,7.5,0
Paul Walker,Fast Five,Action|Crime|Thriller,2011,7.3,54000
Robert Downey Jr.,Sherlock Holmes: A Game of Shadows,Action|Adventure|Crime|Mystery|Thriller,2011,7.5,39000
Liam Neeson,Clash of the Titans,Action|Adventure|Fantasy,2010,5.8,15000
Ronny Cox,Total Recall,Action|Sci-Fi,1990,7.5,0
Tony Curran,The 13th Warrior,Action|Adventure|History,1999,6.6,0
Jeremy Renner,The Bourne Legacy,Action|Adventure|Thriller,2012,6.7,31000
Michael Gough,Batman & Robin,Action,1997,3.7,0
Clint Howard,How the Grinch Stole Christmas,Comedy|Family|Fantasy,2000,6,0
Jake Gyllenhaal,The Day After Tomorrow,Action|Adventure|Sci-Fi|Thriller,2004,6.4,19000
Tom Cruise,Mission: Impossible II,Action|Adventure|Thriller,2000,6.1,0
Karen Allen,The Perfect Storm,Action|Adventure|Drama|Thriller,2000,6.4,0
Chris Evans,Fantastic 4: Rise of the Silver Surfer,Action|Adventure|Sci-Fi|Thriller,2007,5.6,0
Suraj Sharma,Life of Pi,Adventure|Drama|Fantasy,2012,8,122000
Nicolas Cage,Ghost Rider,Action|Fantasy|Thriller,2007,5.2,0
Matt Damon,Jason Bourne,Action|Thriller,2016,7.1,31000
Demi Moore,Charlie's Angels: Full Throttle,Action|Adventure|Comedy|Crime,2003,4.8,0
Michael Fassbender,Prometheus,Adventure|Mystery|Sci-Fi,2012,7,97000
Nathan Lane,Stuart Little 2,Adventure|Animation|Comedy|Family|Fantasy,2002,5.4,459
Matt Damon,Elysium,Action|Drama|Sci-Fi|Thriller,2013,6.6,61000
Vin Diesel,The Chronicles of Riddick,Action|Adventure|Sci-Fi|Thriller,2004,6.7,0
Gary Oldman,RoboCop,Action|Crime|Sci-Fi|Thriller,2014,6.2,60000
Scott Porter,Speed Racer,Action|Family|Sport,2008,6.1,0
Shelley Conn,How Do You Know,Comedy|Drama|Romance,2010,5.3,0
Tom Cruise,Knight and Day,Action|Comedy|Romance,2010,6.3,11000
Morgan Freeman,Oblivion,Action|Adventure|Mystery|Sci-Fi,2013,7,71000
Natalie Portman,Star Wars: Episode III - Revenge of the Sith,Action|Adventure|Fantasy|Sci-Fi,2005,7.6,10000
Natalie Portman,Star Wars: Episode II - Attack of the Clones,Action|Adventure|Fantasy|Sci-Fi,2002,6.7,0
Steve Buscemi,"Monsters, Inc.",Adventure|Animation|Comedy|Family|Fantasy,2001,8.1,0
Hugh Jackman,The Wolverine,Action|Adventure|Sci-Fi|Thriller,2013,6.7,68000
Natalie Portman,Star Wars: Episode I - The Phantom Menace,Action|Adventure|Fantasy|Sci-Fi,1999,6.5,13000
Ryan Reynolds,The Croods,Adventure|Animation|Comedy|Family|Fantasy,2013,7.3,28000
Alain Delon,Asterix at the Olympic Games,Adventure|Comedy|Family|Fantasy,2008,5.1,291
Nicolas Cage,Windtalkers,Action|Drama|War,2002,6,0
Chris Hemsworth,The Huntsman: Winter's War,Action|Adventure|Drama|Fantasy,2016,6.1,16000
Noel Fisher,Teenage Mutant Ninja Turtles,Action|Adventure|Comedy|Sci-Fi,2014,5.9,62000
Phaldut Sharma,Gravity,Adventure|Drama|Sci-Fi|Thriller,2013,7.8,147000
Jamie Renée Smith,Dante's Peak,Action|Adventure|Thriller,1997,5.8,0
Stephen Amell,Teenage Mutant Ninja Turtles: Out of the Shadows,Action|Adventure|Comedy|Sci-Fi,2016,6.3,12000
Tim Blake Nelson,Fantastic Four,Action|Adventure|Sci-Fi,2015,4.3,41000
Robin Williams,Night at the Museum,Action|Adventure|Comedy|Family|Fantasy,2006,6.4,3000
Dwayne Johnson,San Andreas,Action|Adventure|Drama|Thriller,2015,6.1,52000
Vincent Schiavelli,Tomorrow Never Dies,Action|Adventure|Thriller,1997,6.5,0
Heath Ledger,The Patriot,Action|Drama|History|War,2000,7.1,4000
Brad Pitt,Ocean's Twelve,Crime|Thriller,2004,6.4,0
Brad Pitt,Mr. & Mrs. Smith,Action|Comedy|Crime|Romance|Thriller,2005,6.5,0
Kate Winslet,Insurgent,Adventure|Sci-Fi|Thriller,2015,6.3,27000
Leonardo DiCaprio,The Aviator,Biography|Drama,2004,7.5,0
James Corden,Gulliver's Travels,Adventure|Comedy|Family|Fantasy,2010,4.9,0
Christoph Waltz,The Green Hornet,Action|Comedy|Crime|Sci-Fi|Thriller,2011,5.8,14000
George Peppard,The A-Team            ,Action|Adventure|Crime,,7.6,0
Eva Green,300: Rise of an Empire,Action|Drama|Fantasy|War,2014,6.2,71000
Mahadeo Shivraj,The Smurfs,Adventure|Animation|Comedy|Family|Fantasy,2011,5.5,31000
Steve Buscemi,Home on the Range,Animation|Comedy|Family|Music|Western,2004,5.4,304
Naomi Watts,Allegiant,Action|Adventure|Mystery|Sci-Fi|Thriller,2016,5.8,12000
Hugh Jackman,Real Steel,Action|Drama|Sci-Fi|Sport,2011,7.1,36000
Jacob Tremblay,The Smurfs 2,Adventure|Animation|Comedy|Family|Fantasy,2013,5.4,0
Jason Patric,Speed 2: Cruise Control,Action|Crime|Romance|Thriller,1997,3.7,894
Harrison Ford,Ender's Game,Action|Sci-Fi,2013,6.7,123000
Bruce Willis,Live Free or Die Hard,Action|Adventure|Thriller,2007,7.2,0
Christopher Lee,The Lord of the Rings: The Fellowship of the Ring,Action|Adventure|Drama|Fantasy,2001,8.8,21000
Jim Broadbent,Around the World in 80 Days,Action|Adventure|Comedy,2004,5.8,0
Will Smith,Ali,Biography|Drama|Sport,2001,6.8,0
Sean Hayes,The Cat in the Hat,Adventure|Comedy|Family|Fantasy,2003,3.8,946
Will Smith,"I, Robot",Action|Mystery|Sci-Fi|Thriller,2004,7.1,0
Liam Neeson,Kingdom of Heaven,Action|Adventure|Drama|History|War,2005,7.2,0
Chazz Palminteri,Stuart Little,Adventure|Comedy|Family|Fantasy,1999,5.9,0
Oprah Winfrey,The Princess and the Frog,Animation|Family|Fantasy|Musical|Romance,2009,7.1,5000
Matt Damon,The Martian,Adventure|Drama|Sci-Fi,2015,8.1,153000
Mathew Buck,"10,000 B.C.            ",Comedy,,7.2,0
Scarlett Johansson,The Island,Action|Adventure|Romance|Sci-Fi|Thriller,2005,6.9,0
Del Zamora,Town & Country,Comedy|Romance,2001,4.4,53
Nicolas Cage,Gone in Sixty Seconds,Action|Crime|Thriller,2000,6.5,0
Djimon Hounsou,Gladiator,Action|Drama|Romance,2000,8.5,21000
Tom Cruise,Minority Report,Action|Mystery|Sci-Fi|Thriller,2002,7.7,0
Daniel Radcliffe,Harry Potter and the Chamber of Secrets,Adventure|Family|Fantasy|Mystery,2002,7.4,0
Eva Green,Casino Royale,Action|Adventure|Thriller,2006,8,0
Cary-Hiroyuki Tagawa,Planet of the Apes,Action|Adventure|Sci-Fi|Thriller,2001,5.7,0
Joe Morton,Terminator 2: Judgment Day,Action|Sci-Fi,1991,8.5,13000
Johnny Depp,Public Enemies,Biography|Crime|Drama|History|Romance,2009,7,0
Denzel Washington,American Gangster,Biography|Crime|Drama,2007,7.8,0
Jamie Lee Curtis,True Lies,Action|Comedy|Thriller,1994,7.2,0
Denzel Washington,The Taking of Pelham 1 2 3,Action|Crime|Thriller,2009,6.4,0
Robert De Niro,Little Fockers,Comedy|Romance,2010,5.5,0
Dwayne Johnson,The Other Guys,Action|Comedy|Crime,2010,6.7,16000
Vanessa Williams,Eraser,Action|Drama|Mystery|Thriller,1996,6.1,0
Leonardo DiCaprio,Django Unchained,Drama|Western,2012,8.5,199000
Demi Moore,The Hunchback of Notre Dame,Animation|Drama|Family|Musical|Romance,1996,6.9,0
Eartha Kitt,The Emperor's New Groove,Adventure|Animation|Comedy|Family|Fantasy,2000,7.3,0
Jason Statham,The Expendables 2,Action|Adventure|Thriller,2012,6.7,108000
Nicolas Cage,National Treasure,Action|Adventure|Comedy|Family|Mystery,2004,6.9,0
Djimon Hounsou,Eragon,Action|Adventure|Family|Fantasy,2006,5.1,0
Catherine O'Hara,Where the Wild Things Are,Adventure|Drama|Family|Fantasy,2009,6.8,11000
Hugh Jackman,Pan,Adventure|Family|Fantasy,2015,5.8,24000
Josh Hutcherson,Epic,Adventure|Animation|Family|Fantasy,2013,6.7,17000
Johnny Depp,The Tourist,Action|Romance|Thriller,2010,6,25000
CCH Pounder,End of Days,Action|Fantasy|Horror|Mystery,1999,5.7,2000
